TotalScore,YearValue,WeekValue
7,2007,30
5,2007,31
5,2007,32
7,2007,33
6,2007,36
8,2007,37
2,2007,39
1,2007,40
1,2007,41
23,2007,46
18,2007,48
2,2007,49
2,2008,1
1,2008,3
3,2008,6
3,2008,8
13,2008,13
37,2008,14
3,2008,18
25,2008,19
1,2008,20
3,2008,21
89,2008,22
58,2008,23
15,2008,24
3,2008,25
9,2008,26
17,2008,27
76,2008,28
15,2008,29
2,2008,30
12,2008,31
52,2008,32
2,2008,33
56,2008,34
79,2008,35
4,2008,36
44,2008,37
32,2008,38
184,2008,39
9,2008,40
4,2008,41
10,2008,42
7,2008,43
58,2008,44
28,2008,45
121,2008,46
7,2008,47
46,2008,48
194,2008,49
7,2008,50
61,2008,51
6,2008,52
9,2009,0
73,2009,1
230,2009,2
108,2009,3
54,2009,4
44,2009,5
8,2009,6
145,2009,7
64,2009,8
59,2009,9
86,2009,10
35,2009,11
9,2009,12
9,2009,13
31,2009,14
12,2009,15
100,2009,16
67,2009,17
142,2009,18
26,2009,19
59,2009,20
29,2009,21
159,2009,22
8,2009,23
32,2009,24
67,2009,25
29,2009,26
27,2009,27
30,2009,28
70,2009,29
31,2009,30
64,2009,31
25,2009,32
65,2009,33
18,2009,34
84,2009,35
6,2009,36
87,2009,37
62,2009,38
14,2009,39
11,2009,40
13,2009,41
59,2009,42
183,2009,43
64,2009,44
19,2009,45
125,2009,46
66,2009,47
124,2009,48
94,2009,49
137,2009,50
11,2009,51
97,2009,52
117,2010,1
334,2010,2
157,2010,3
106,2010,4
70,2010,5
202,2010,6
335,2010,7
16,2010,8
10,2010,37
227,2010,38
129,2010,39
374,2010,40
477,2010,41
39,2010,42
324,2010,43
66,2010,44
216,2010,45
141,2010,46
73,2010,47
22,2010,48
72,2010,49
210,2010,50
26,2010,51
251,2010,52
1,2011,0
206,2011,1
317,2011,2
539,2011,3
33,2011,4
610,2011,5
828,2011,6
114,2011,7
418,2011,8
130,2011,9
182,2011,10
266,2011,11
51,2011,12
197,2011,13
179,2011,14
264,2011,15
609,2011,16
191,2011,17
531,2011,18
164,2011,19
21,2011,20
13,2011,21
523,2011,22
64,2011,23
111,2011,24
187,2011,25
121,2011,26
663,2011,27
55,2011,28
49,2011,29
112,2011,30
3,2011,31
85,2012,5
431,2012,6
631,2012,7
254,2012,8
332,2012,9
267,2012,10
260,2012,11
223,2012,12
141,2012,13
93,2012,14
819,2012,15
88,2012,16
236,2012,17
185,2012,18
541,2012,19
177,2012,20
24,2012,21
386,2012,22
844,2012,23
16,2012,24
138,2012,25
706,2012,26
39,2012,27
77,2012,28
54,2012,29
382,2012,30
138,2012,31
321,2012,32
24,2012,33
67,2012,34
200,2012,35
117,2012,36
190,2012,37
89,2012,38
155,2012,39
101,2012,40
25,2012,41
285,2012,42
134,2012,43
62,2012,44
109,2012,45
25,2012,46
82,2012,47
242,2012,48
10,2012,49
229,2012,50
100,2012,51
23,2012,52
2,2012,53
35,2013,0
171,2013,1
498,2013,2
39,2013,3
403,2013,4
571,2013,5
305,2013,6
189,2013,7
128,2013,8
18,2013,9
34,2013,10
117,2013,11
109,2013,12
204,2013,13
287,2013,14
592,2013,15
239,2013,16
406,2013,17
37,2013,18
27,2013,19
327,2013,20
134,2013,21
25,2013,22
30,2013,23
38,2013,24
20,2013,25
64,2013,26
180,2013,27
23,2013,28
304,2013,29
17,2013,30
83,2013,31
25,2013,32
163,2013,33
80,2013,34
5,2013,35
23,2013,36
106,2013,37
13,2013,38
9,2013,39
18,2013,40
6,2013,41
13,2013,42
7,2013,43
19,2013,44
124,2013,45
23,2013,46
142,2013,47
8,2013,48
193,2013,49
48,2013,50
70,2013,51
64,2013,52
2,2014,0
9,2014,1
30,2014,2
211,2014,3
1354,2014,4
118,2014,5
92,2014,6
18,2014,7
25,2014,8
6,2014,9
52,2014,10
8,2014,11
11,2014,12
7,2014,13
157,2014,14
24,2014,15
27,2014,16
28,2014,17
13,2014,18
9,2014,19
14,2014,20
50,2014,21
18,2014,22
9,2014,23
10,2014,24
11,2014,25
8,2014,26
1,2014,27
34,2014,28
9,2014,29
67,2014,30
13,2014,31
16,2014,32
11,2014,33
12,2014,34
10,2014,35
18,2014,36
222,2014,37
360,2014,38
5,2014,39
11,2014,40